security_code,security_name,primary_exchange,refinitiv_code,isin_code,value_date,consolidated_market_value,consolidated_shares_outstanding,free_float,free_float_market_value
406.0,CARNIVAL,LON,10585.0,GB0031215220,2023-05-01,9415977000.0,,0.92,8662698840.0
51117.0,DECHRA PHARMACEUTICALS,LON,10397.0,GB0009633180,2023-05-01,4247640999.9999995,,1.0,4247640999.9999995
14022.0,IMI,LON,46066.0,GB00BGLP8L22,2023-05-01,4159886999.9999995,260808000.0,1.0,4159886999.9999995
8932.0,RS GROUP,LON,46139.0,GB0003096442,2023-05-01,4356379000.0,472800000.0,0.95,4138560050.0
19197.0,INTERMEDIATE CAPITAL GP.,LON,862.0,GB00BYT1DJ19,2023-05-01,3782159000.0,290600000.0,1.0,3782159000.0
7114.0,HOWDEN JOINERY GP.,LON,35629.0,GB0005576813,2023-05-01,3779202000.0,,1.0,3779202000.0
44134.0,PERSIMMON,LON,46289.0,GB0006825383,2023-05-01,4197125000.0,319416000.0,0.9,3777412500.0
10188.0,BEAZLEY,LON,10469.0,GB00BYQ0JC66,2023-05-01,4003160000.0,672235000.0,0.91,3642875600.0
27550.0,SPECTRIS,LON,48543.0,GB0003308607,2023-05-01,3935617000.0,104699000.0,0.92,3620767640.0
3251.0,HISCOX DI,LON,30485.0,BMG4593F1389,2023-05-01,4096265999.9999995,346554000.0,0.83,3399900779.9999995
47433.0,TATE & LYLE,LON,45965.0,GB00BP92CJ43,2023-05-01,3273474000.0,401653000.0,1.0,3273474000.0
18213.0,MARKS & SPENCER GROUP,LON,46009.0,GB0031274896,2023-05-01,3229371000.0,1964934000.0,1.0,3229371000.0
29773.0,EASYJET,LON,14530.0,GB00B7KR2P84,2023-05-01,3771858000.0,758010000.0,0.85,3206079300.0
14493.0,JOHNSON MATTHEY,LON,45999.0,GB00BZ4BQC70,2023-05-01,3602107000.0,183453000.0,0.89,3205875230.0
33157.0,DIPLOMA,LON,46297.0,GB0001826634,2023-05-01,3600168000.0,,0.86,3096144480.0
42750.0,INVESTEC,LON,9486.0,GB00B17BBQ50,2023-05-01,4321172000.0,980691000.0,0.7,3024820400.0
30732.0,IG GROUP HOLDINGS,LON,23757.0,GB00B06QFB75,2023-05-01,3013931000.0,410897000.0,1.0,3013931000.0
2474.0,BELLWAY,LON,46114.0,GB0000904986,2023-05-01,2960809000.0,122753000.0,1.0,2960809000.0
39204.0,GAMES WORKSHOP,LON,1145.0,GB0003718474,2023-05-01,3265018000.0,,0.87,2840565660.0
36989.0,BRITISH LAND,LON,46055.0,GB0001367019,2023-05-01,3710178000.0,927081000.0,0.75,2782633500.0
5446.0,HIKMA PHARMACEUTICALS,LON,27926.0,GB00B0LCW083,2023-05-01,4068400000.0,220989000.0,0.68,2766512000.0
5044.0,UNITE GROUP,LON,39813.0,GB0006928617,2023-05-01,3839287000.0,,0.71,2725893770.0
42200.0,ROTORK,LON,46323.0,GB00BVFNZH21,2023-05-01,2815011000.0,860860000.0,0.95,2674260450.0
204281.0,TRITAX BIG BOX REIT,LON,269976.0,GB00BG49KP99,2023-05-01,2898550000.0,,0.92,2666666000.0
44295.0,TUI N,XET,46904.0,DE000TUAG505,2023-05-01,2955277000.0,,0.89,2630196530.0
20869.0,GREGGS,LON,48531.0,GB00B63QSB39,2023-05-01,2877769000.0,102121000.0,0.89,2561214410.0
8872.0,VISTRY GROUP,LON,36175.0,GB0001859296,2023-05-01,2705258000.0,,0.89,2407679620.0
177383.0,OCADO GROUP,LON,235175.0,GB00B3MBS747,2023-05-01,4175809000.0,826565000.0,0.52,2171420680.0
36173.0,COMPUTACENTER,LON,37494.0,GB00BV9FP302,2023-05-01,2816918000.0,,0.72,2028180960.0
209323.0,WIZZ AIR HOLDINGS,LON,281068.0,JE00BN574F90,2023-05-01,3120176000.0,103283000.0,0.57,1778500319.9999998
202624.0,MEDICLINIC INTERNATIONAL,LON,267405.0,GB00B8HX8Z88,2023-05-01,3677370000.0,,0.46,1691590200.0
9164.0,FRASERS GROUP,LON,34449.0,GB00B1QH8P22,2023-05-01,3592548000.0,467475000.0,0.29,1041838919.9999999
