Ticker,Name,"SEDOL
","ISIN
",Market Cap (Pre),Market Cap (Post),Post Date,FTSE100,FTSE250
CNA LN Equity,Centrica PLC,B033F22,GB00B033F229,,4763841536,2022-06-20,1.0,-1.0
IDS LN Equity,International Distributions Services PLC,BDVZYZ7,GB00BDVZYZ77,2999578880,,2022-06-20,-1.0,1.0
ITV LN Equity,ITV PLC,3398649,GB0033986497,2847574528,,2022-06-20,-1.0,1.0
UTG LN Equity,UNITE Group PLC/The,0692861,GB0006928617,,4340879872,2022-06-20,1.0,-1.0
ABDN LN Equity,abrdn plc,BF8Q6K6,GB00BF8Q6K64,3273295360,,2022-09-20,-1.0,1.0
AVST LN Equity,Avast Ltd,BDD85M8,GB00BDD85M81,7253987840,,2022-09-20,-1.0,
CTEC LN Equity,ConvaTec Group PLC,BD3VFW7,GB00BD3VFW73,,4430629888,2022-09-20,1.0,-1.0
FCIT LN Equity,F&C Investment Trust PLC,0346607,GB0003466074,,--,2022-09-20,1.0,-1.0
FRAS LN Equity,Frasers Group PLC,B1QH8P2,GB00B1QH8P22,,3710002176,2022-09-20,1.0,-1.0
HBR LN Equity,Harbour Energy PLC,BMBVGQ3,GB00BMBVGQ36,,4109989632,2022-09-20,1.0,-1.0
HIK LN Equity,Hikma Pharmaceuticals PLC,B0LCW08,GB00B0LCW083,3004709120,,2022-09-20,-1.0,1.0
HSV LN Equity,HomeServe PLC,BYYTFB6,GB00BYYTFB60,,4003026944,2022-09-20,1.0,-1.0
HWDN LN Equity,Howden Joinery Group PLC,0557681,GB0005576813,3345207040,,2022-09-20,-1.0,1.0
MGGT LN Equity,Meggitt PLC,0575809,GB0005758098,6195772416,,2022-09-20,-1.0,
ABDN LN Equity,abrdn plc,BF8Q6K6,GB00BF8Q6K64,,3776620032,2022-12-19,1.0,-1.0
BEZ LN Equity,Beazley PLC,BYQ0JC6,GB00BYQ0JC66,,4355865088,2022-12-19,1.0,-1.0
DPH LN Equity,Dechra Pharmaceuticals PLC,0963318,GB0009633180,3114243072,,2022-12-19,-1.0,1.0
HBR LN Equity,Harbour Energy PLC,BMBVGQ3,GB00BMBVGQ36,2755344896,,2022-12-19,-1.0,1.0
ICP LN Equity,Intermediate Capital Group PLC,BYT1DJ1,GB00BYT1DJ19,3361692160,,2022-12-19,-1.0,1.0
WEIR LN Equity,Weir Group PLC/The,0946580,GB0009465807,,4351097856,2022-12-19,1.0,-1.0
BLND LN Equity,British Land Co PLC/The,0136701,GB0001367019,3390335232,,2023-06-19,-1.0,1.0
IMI LN Equity,IMI PLC,BGLP8L2,GB00BGLP8L22,,4214703104,2023-06-19,1.0,-1.0
